 WORKFLOW_ENTRY_ID |     WORKFLOW_DATE      | GROUP | INSTANCE_ID | WORKFLOW_ITEM_ID 
              1060 | 2020-11-05 07:38:14+00 |     1 |         475 |               71
              1249 | 2020-08-21 06:07:01+00 |     1 |         296 |               71
              1250 | 2019-08-23 06:07:01+00 |     1 |         296 |               72
              1259 | 2019-08-23 12:49:54+00 |     1 |         305 |               72
              1270 | 2021-11-13 13:00:57+00 |     1 |         413 |               71
              1271 | 2019-11-15 13:00:57+00 |     1 |         413 |               72
              1280 | 2020-10-16 14:35:33+00 |     1 |         471 |               71
              1281 | 2019-10-18 14:35:33+00 |     1 |         471 |               72
              1283 | 2020-10-10 08:56:12+00 |     1 |         497 |               71
              1284 | 2019-10-15 08:56:12+00 |     1 |         497 |               72
              1286 | 2020-10-10 08:57:33+00 |     1 |         504 |               71
              1287 | 2019-10-15 08:57:33+00 |     1 |         504 |               72
              1351 | 2019-12-12 08:28:35+00 |     1 |         702 |               72
              1372 | 2020-12-11 08:24:14+00 |     1 |         601 |               71
              1373 | 2019-12-19 08:24:15+00 |     1 |         601 |               72
              1377 | 2020-12-11 08:31:55+00 |     1 |         600 |               71
              1378 | 2019-12-19 08:31:55+00 |     1 |         600 |               72
              1350 | 2020-12-11 08:28:35+00 |     1 |         702 |               71
              1292 | 2020-11-13 12:12:23+00 |     1 |         527 |               71
              1293 | 2019-11-15 12:12:23+00 |     1 |         527 |               72
              1289 | 2020-10-16 09:17:10+00 |     1 |         505 |               71
              1290 | 2019-10-18 09:17:10+00 |     1 |         505 |               72
              1298 | 2020-11-13 16:03:09+00 |     1 |         543 |               71
              1299 | 2019-11-15 16:03:09+00 |     1 |         543 |               72
              1384 | 2020-11-20 08:00:19+00 |     1 |          27 |               71
              1385 | 2019-12-02 08:00:19+00 |     1 |          27 |               72
              1295 | 2020-10-16 06:09:03+00 |     1 |         529 |               71
              1296 | 2019-10-18 06:09:03+00 |     1 |         529 |               72
              1322 | 2020-10-21 07:23:31+00 |     1 |         489 |               71
              1323 | 2019-10-23 07:23:31+00 |     1 |         489 |               72
               312 | 2021-07-01 05:35:09+00 |     1 |           9 |               71
              1400 | 2021-12-16 10:51:52+00 |     1 |         598 |               71
              1401 | 2019-12-18 10:51:52+00 |     1 |         598 |               72
              1415 | 2020-12-18 06:41:47+00 |     1 |          46 |               71
              1416 | 2019-12-20 06:41:47+00 |     1 |          46 |               72
              1418 | 2021-12-18 14:41:21+00 |     1 |         207 |               71
              1419 | 2019-12-20 14:41:21+00 |     1 |         207 |               72
              1423 | 2020-12-18 07:39:29+00 |     1 |         506 |               71
              1424 | 2019-12-20 07:39:29+00 |     1 |         506 |               72
              1445 | 2020-12-11 08:04:24+00 |     1 |         606 |               71
              1446 | 2019-12-24 08:04:24+00 |     1 |         606 |               72
              1489 | 2021-10-28 09:15:06+00 |     1 |         414 |               71
              1490 | 2019-10-07 09:15:07+00 |     1 |         414 |               72
              1478 | 2021-01-13 15:18:13+00 |     1 |         684 |               71
              1521 | 2021-01-13 08:35:38+00 |     1 |         530 |               71
              1522 | 2020-01-16 08:35:38+00 |     1 |         530 |               72
              1528 | 2020-01-17 11:13:13+00 |     1 |         219 |               61
              1583 | 2021-01-15 16:27:47+00 |     1 |         608 |               71
              1584 | 2020-02-03 16:27:47+00 |     1 |         608 |               72
              1238 | 2019-08-23 12:57:26+00 |     1 |         194 |               72
              1648 | 2021-02-03 09:09:44+00 |     1 |          31 |               71
              1649 | 2020-02-07 09:09:44+00 |     1 |          31 |               72
              1680 | 2019-09-01 05:58:38+00 |     1 |          28 |               61
              1691 | 2021-01-15 06:55:38+00 |     1 |         472 |               71
              1692 | 2020-02-15 06:55:38+00 |     1 |         472 |               72
              1698 | 2021-02-12 09:20:27+00 |     1 |         753 |               71
              1699 | 2020-02-14 09:20:27+00 |     1 |         753 |               72
              1731 | 2021-02-06 13:22:30+00 |     1 |         670 |               71
              1732 | 2020-02-19 13:22:30+00 |     1 |         670 |               72
              1658 | 2020-12-02 08:21:29+00 |     1 |         564 |               71
              1701 | 2021-02-12 09:49:03+00 |     1 |         700 |               71
              1702 | 2020-02-14 09:49:03+00 |     1 |         700 |               72
              1695 | 2021-02-12 14:57:38+00 |     1 |         210 |               71
              1696 | 2020-02-14 14:57:38+00 |     1 |         210 |               72
              1659 | 2020-02-06 08:21:29+00 |     1 |         564 |               72
              1838 | 2020-02-19 12:37:30+00 |     1 |          26 |               61
              1832 | 2020-02-27 16:10:28+00 |     1 |         780 |               72
              1860 | 2021-03-04 13:37:19+00 |     1 |         714 |               71
              1861 | 2020-03-06 13:37:19+00 |     1 |         714 |               72
              1866 | 2021-03-04 13:39:04+00 |     1 |         796 |               71
              1867 | 2020-03-06 13:39:04+00 |     1 |         796 |               72
              1869 | 2021-03-04 13:39:39+00 |     1 |         492 |               71
              1870 | 2020-03-06 13:39:39+00 |     1 |         492 |               72
              1895 | 2021-01-23 13:37:04+00 |     1 |         729 |               71
              1896 | 2020-01-30 13:37:04+00 |     1 |         729 |               72
              1902 | 2021-01-29 13:39:51+00 |     1 |         683 |               71
              1903 | 2020-01-31 13:39:51+00 |     1 |         683 |               72
              1914 | 2021-01-29 13:43:56+00 |     1 |         660 |               71
              1915 | 2020-01-31 13:43:56+00 |     1 |         660 |               72
              1920 | 2021-01-29 09:11:47+00 |     1 |         418 |               71
              1921 | 2020-01-31 09:11:47+00 |     1 |         418 |               72
              1917 | 2021-01-29 09:26:30+00 |     1 |         533 |               71
              1918 | 2020-01-31 09:26:30+00 |     1 |         533 |               72
              1890 | 2020-03-06 09:20:10+00 |     1 |         693 |               72
              1863 | 2021-02-27 10:19:45+00 |     1 |         852 |               71
              1864 | 2020-03-04 10:19:45+00 |     1 |         852 |               72
              1898 | 2021-01-29 07:03:31+00 |     1 |         713 |               71
